frame.time,ip.src,ip.dst,ip.proto,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport
Apr  1, 2026 21:29:36.745306284 PKT,192.168.100.39,157.240.227.60,6,43338,443,,
Apr  1, 2026 21:29:36.756390664 PKT,192.168.100.39,157.240.227.60,6,43338,443,,
Apr  1, 2026 21:29:37.123911293 PKT,192.168.100.39,13.107.213.63,6,52526,443,,
Apr  1, 2026 21:29:37.185090879 PKT,192.168.100.39,142.250.202.238,17,,,54385,443
Apr  1, 2026 21:29:37.201200727 PKT,192.168.100.39,157.240.227.60,6,43338,443,,
Apr  1, 2026 21:29:37.201435920 PKT,192.168.100.39,157.240.227.60,6,43338,443,,
Apr  1, 2026 21:29:37.253770384 PKT,157.240.227.60,192.168.100.39,6,443,43338,,
Apr  1, 2026 21:29:37.253771078 PKT,13.107.213.63,192.168.100.39,6,443,52526,,
Apr  1, 2026 21:29:37.392385431 PKT,192.168.100.39,157.240.227.60,6,43338,443,,
Apr  1, 2026 21:29:37.392475911 PKT,192.168.100.39,157.240.227.60,6,43338,443,,
Apr  1, 2026 21:29:37.436940673 PKT,142.250.202.238,192.168.100.39,17,,,443,54385
Apr  1, 2026 21:29:37.436941079 PKT,157.240.227.60,192.168.100.39,6,443,43338,,
Apr  1, 2026 21:29:37.436941247 PKT,157.240.227.60,192.168.100.39,6,443,43338,,
Apr  1, 2026 21:29:37.436941347 PKT,157.240.227.60,192.168.100.39,6,443,43338,,
Apr  1, 2026 21:29:37.439015297 PKT,192.168.100.39,142.250.202.238,17,,,54385,443
Apr  1, 2026 21:29:37.439207519 PKT,192.168.100.39,142.250.202.238,17,,,54385,443
Apr  1, 2026 21:29:37.464572492 PKT,192.168.100.39,142.250.202.238,17,,,54385,443
Apr  1, 2026 21:29:37.477889752 PKT,192.168.100.39,157.240.227.60,6,43338,443,,
Apr  1, 2026 21:29:37.598420999 PKT,157.240.227.60,192.168.100.39,6,443,43338,,
Apr  1, 2026 21:29:37.598421377 PKT,157.240.227.60,192.168.100.39,6,443,43338,,
Apr  1, 2026 21:29:37.599951641 PKT,157.240.227.60,192.168.100.39,6,443,43338,,
Apr  1, 2026 21:29:37.599951902 PKT,142.250.202.238,192.168.100.39,17,,,443,54385
Apr  1, 2026 21:29:37.599952063 PKT,142.250.202.238,192.168.100.39,17,,,443,54385
Apr  1, 2026 21:29:37.599999824 PKT,192.168.100.39,157.240.227.60,6,43338,443,,
