frame.time,ip.src,ip.dst,ip.proto,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport
Apr  1, 2026 21:29:03.971975823 PKT,192.168.100.39,157.240.227.60,6,43338,443,,
Apr  1, 2026 21:29:04.051172111 PKT,192.168.100.39,192.168.100.1,17,,,40611,53
Apr  1, 2026 21:29:04.059630815 PKT,192.168.100.39,35.190.80.1,6,40210,443,,
Apr  1, 2026 21:29:04.227904344 PKT,192.168.100.39,157.240.227.60,6,43354,443,,
Apr  1, 2026 21:29:04.301184450 PKT,192.168.100.39,35.190.80.1,6,40212,443,,
Apr  1, 2026 21:29:04.419969911 PKT,192.168.100.39,35.190.80.1,6,57108,443,,
Apr  1, 2026 21:29:04.996003421 PKT,192.168.100.39,157.240.227.60,6,43338,443,,
Apr  1, 2026 21:29:05.059933851 PKT,192.168.100.39,35.190.80.1,6,40210,443,,
Apr  1, 2026 21:29:05.152447520 PKT,,,,,,,
Apr  1, 2026 21:29:05.252011040 PKT,192.168.100.39,157.240.227.60,6,43354,443,,
Apr  1, 2026 21:29:05.315943153 PKT,192.168.100.39,35.190.80.1,6,40212,443,,
Apr  1, 2026 21:29:05.636010221 PKT,192.168.100.39,104.26.6.95,6,55790,443,,
Apr  1, 2026 21:29:06.083942182 PKT,192.168.100.39,35.190.80.1,6,40210,443,,
Apr  1, 2026 21:29:06.183781031 PKT,192.168.100.39,192.168.100.1,17,,,55815,53
Apr  1, 2026 21:29:06.184279934 PKT,192.168.100.39,192.168.100.1,17,,,52094,53
Apr  1, 2026 21:29:06.339924757 PKT,192.168.100.39,35.190.80.1,6,40212,443,,
Apr  1, 2026 21:29:06.489751330 PKT,192.168.100.39,192.168.100.1,17,,,59430,53
Apr  1, 2026 21:29:07.043904437 PKT,192.168.100.39,157.240.227.60,6,43338,443,,
Apr  1, 2026 21:29:07.103919324 PKT,,,,,,,
Apr  1, 2026 21:29:07.107902501 PKT,192.168.100.39,35.190.80.1,6,40210,443,,
Apr  1, 2026 21:29:07.132958419 PKT,192.168.100.39,192.168.100.1,17,,,44497,53
Apr  1, 2026 21:29:07.256036005 PKT,104.18.39.21,192.168.100.39,6,443,48048,,
Apr  1, 2026 21:29:07.256036272 PKT,192.168.100.1,192.168.100.39,17,,,53,36139
Apr  1, 2026 21:29:07.256036382 PKT,157.240.227.60,192.168.100.39,6,443,43338,,
Apr  1, 2026 21:29:07.256036487 PKT,192.168.100.135,239.255.255.250,17,,,53617,1900
Apr  1, 2026 21:29:07.256036584 PKT,104.26.6.95,192.168.100.39,6,443,55790,,
Apr  1, 2026 21:29:07.256036681 PKT,157.240.227.60,192.168.100.39,6,443,43354,,
Apr  1, 2026 21:29:07.256036767 PKT,192.168.100.135,239.255.255.250,17,,,53617,1900
Apr  1, 2026 21:29:07.256036864 PKT,192.168.100.135,239.255.255.250,17,,,53617,1900
Apr  1, 2026 21:29:07.256117469 PKT,192.168.100.39,157.240.227.60,6,43338,443,,
Apr  1, 2026 21:29:07.256149914 PKT,192.168.100.39,157.240.227.60,6,43354,443,,
Apr  1, 2026 21:29:07.256179796 PKT,192.168.100.1,192.168.100.39,17,,,53,36397
Apr  1, 2026 21:29:07.256179907 PKT,192.168.100.1,192.168.100.39,17,,,53,42943
Apr  1, 2026 21:29:07.256180012 PKT,157.240.227.60,192.168.100.39,6,443,43338,,
Apr  1, 2026 21:29:07.256180086 PKT,192.168.100.85,224.0.0.251,17,,,5353,5353
Apr  1, 2026 21:29:07.256180164 PKT,157.240.227.60,192.168.100.39,6,443,43338,,
Apr  1, 2026 21:29:07.256180247 PKT,157.240.227.60,192.168.100.39,6,443,43354,,
Apr  1, 2026 21:29:07.256180326 PKT,192.168.100.1,192.168.100.39,17,,,53,52094
Apr  1, 2026 21:29:07.256180416 PKT,192.168.100.1,192.168.100.39,17,,,53,55815
Apr  1, 2026 21:29:07.256200610 PKT,192.168.100.39,157.240.227.60,6,43338,443,,
Apr  1, 2026 21:29:07.256211338 PKT,192.168.100.39,157.240.227.60,6,43354,443,,
Apr  1, 2026 21:29:07.256233629 PKT,157.240.227.60,192.168.100.39,6,443,43354,,
Apr  1, 2026 21:29:07.256233737 PKT,192.168.100.1,192.168.100.39,17,,,53,59430
Apr  1, 2026 21:29:07.256233815 PKT,52.5.197.43,192.168.100.39,6,443,37474,,
Apr  1, 2026 21:29:07.256233892 PKT,52.5.197.43,192.168.100.39,6,443,37474,,
Apr  1, 2026 21:29:07.256233980 PKT,157.240.227.60,192.168.100.39,6,443,43354,,
Apr  1, 2026 21:29:07.256252813 PKT,192.168.100.39,52.5.197.43,6,37474,443,,
Apr  1, 2026 21:29:07.257771679 PKT,157.240.227.60,192.168.100.39,6,443,43338,,
Apr  1, 2026 21:29:07.257771831 PKT,157.240.227.60,192.168.100.39,6,443,43354,,
Apr  1, 2026 21:29:07.257771922 PKT,172.64.148.235,192.168.100.39,6,443,56006,,
Apr  1, 2026 21:29:07.257772013 PKT,157.240.227.60,192.168.100.39,6,443,43338,,
Apr  1, 2026 21:29:07.258718772 PKT,192.168.100.39,157.240.227.60,6,43338,443,,
Apr  1, 2026 21:29:07.258739539 PKT,192.168.100.39,157.240.227.60,6,43338,443,,
Apr  1, 2026 21:29:07.259677841 PKT,192.168.100.39,157.240.227.60,6,43354,443,,
Apr  1, 2026 21:29:07.259693066 PKT,192.168.100.39,157.240.227.60,6,43354,443,,
Apr  1, 2026 21:29:07.265940073 PKT,192.168.100.39,142.251.38.3,17,,,59806,443
Apr  1, 2026 21:29:07.266028454 PKT,192.168.100.39,142.251.38.3,17,,,59806,443
Apr  1, 2026 21:29:07.266434150 PKT,192.168.100.39,142.251.38.3,17,,,59806,443
Apr  1, 2026 21:29:07.268208171 PKT,192.168.100.39,142.250.202.238,17,,,54385,443
Apr  1, 2026 21:29:07.268260650 PKT,192.168.100.39,142.250.202.238,17,,,54385,443
Apr  1, 2026 21:29:07.268751982 PKT,192.168.100.39,172.64.148.235,6,56006,443,,
Apr  1, 2026 21:29:07.271382002 PKT,192.168.100.39,142.251.38.3,17,,,59806,443
Apr  1, 2026 21:29:07.278979144 PKT,192.168.100.39,142.250.202.238,17,,,54385,443
Apr  1, 2026 21:29:07.319558484 PKT,192.168.100.1,192.168.100.39,17,,,53,44497
Apr  1, 2026 21:29:07.363959204 PKT,192.168.100.39,35.190.80.1,6,40212,443,,
Apr  1, 2026 21:29:07.613368909 PKT,157.240.227.60,192.168.100.39,6,443,43354,,
