frame.time,ip.src,ip.dst,ip.proto,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport
Mar 31, 2026 07:59:48.022808920 PKT,13.107.246.63,192.168.100.39,6,443,47260,,
Mar 31, 2026 07:59:48.023117335 PKT,192.168.100.39,13.107.246.63,6,47260,443,,
Mar 31, 2026 07:59:48.024198020 PKT,13.107.246.63,192.168.100.39,6,443,47260,,
Mar 31, 2026 07:59:48.024279877 PKT,192.168.100.39,13.107.246.63,6,47260,443,,
Mar 31, 2026 07:59:48.027447486 PKT,13.107.246.63,192.168.100.39,6,443,47260,,
Mar 31, 2026 07:59:48.027529642 PKT,192.168.100.39,13.107.246.63,6,47260,443,,
Mar 31, 2026 07:59:48.030288374 PKT,13.107.246.63,192.168.100.39,6,443,47260,,
Mar 31, 2026 07:59:48.030721984 PKT,13.107.246.63,192.168.100.39,6,443,47260,,
Mar 31, 2026 07:59:48.030771786 PKT,192.168.100.39,13.107.246.63,6,47260,443,,
Mar 31, 2026 07:59:48.033630482 PKT,13.107.246.63,192.168.100.39,6,443,47260,,
Mar 31, 2026 07:59:48.033962295 PKT,13.107.246.63,192.168.100.39,6,443,47260,,
Mar 31, 2026 07:59:48.034019982 PKT,192.168.100.39,13.107.246.63,6,47260,443,,
Mar 31, 2026 07:59:48.037060861 PKT,13.107.246.63,192.168.100.39,6,443,47260,,
Mar 31, 2026 07:59:48.037278150 PKT,13.107.246.63,192.168.100.39,6,443,47260,,
Mar 31, 2026 07:59:48.037347934 PKT,192.168.100.39,13.107.246.63,6,47260,443,,
Mar 31, 2026 07:59:48.040144546 PKT,13.107.246.63,192.168.100.39,6,443,47260,,
Mar 31, 2026 07:59:48.040436280 PKT,192.168.100.39,13.107.246.63,6,47260,443,,
Mar 31, 2026 07:59:48.042981019 PKT,13.107.246.63,192.168.100.39,6,443,47260,,
Mar 31, 2026 07:59:48.043381811 PKT,13.107.246.63,192.168.100.39,6,443,47260,,
Mar 31, 2026 07:59:48.043430918 PKT,192.168.100.39,13.107.246.63,6,47260,443,,
Mar 31, 2026 07:59:48.048784200 PKT,13.107.246.63,192.168.100.39,6,443,47260,,
Mar 31, 2026 07:59:48.049169022 PKT,192.168.100.39,13.107.246.63,6,47260,443,,
Mar 31, 2026 07:59:48.049398953 PKT,13.107.246.63,192.168.100.39,6,443,47260,,
Mar 31, 2026 07:59:48.049550984 PKT,192.168.100.39,13.107.246.63,6,47260,443,,
Mar 31, 2026 07:59:48.052547517 PKT,13.107.246.63,192.168.100.39,6,443,47260,,
Mar 31, 2026 07:59:48.052969877 PKT,13.107.246.63,192.168.100.39,6,443,47260,,
Mar 31, 2026 07:59:48.053065656 PKT,192.168.100.39,13.107.246.63,6,47260,443,,
Mar 31, 2026 07:59:48.054854301 PKT,13.107.246.63,192.168.100.39,6,443,47260,,
Mar 31, 2026 07:59:48.055274005 PKT,13.107.246.63,192.168.100.39,6,443,47260,,
Mar 31, 2026 07:59:48.055318076 PKT,192.168.100.39,13.107.246.63,6,47260,443,,
Mar 31, 2026 07:59:48.057643692 PKT,13.107.246.63,192.168.100.39,6,443,47260,,
Mar 31, 2026 07:59:48.058029706 PKT,13.107.246.63,192.168.100.39,6,443,47260,,
Mar 31, 2026 07:59:48.058063850 PKT,192.168.100.39,13.107.246.63,6,47260,443,,
Mar 31, 2026 07:59:48.068790645 PKT,13.107.246.63,192.168.100.39,6,443,47260,,
Mar 31, 2026 07:59:48.069072761 PKT,192.168.100.39,13.107.246.63,6,47260,443,,
Mar 31, 2026 07:59:48.069661181 PKT,13.107.246.63,192.168.100.39,6,443,47260,,
Mar 31, 2026 07:59:48.069747879 PKT,192.168.100.39,13.107.246.63,6,47260,443,,
Mar 31, 2026 07:59:48.071690576 PKT,13.107.246.63,192.168.100.39,6,443,47260,,
Mar 31, 2026 07:59:48.071745869 PKT,192.168.100.39,13.107.246.63,6,47260,443,,
Mar 31, 2026 07:59:48.072482745 PKT,13.107.246.63,192.168.100.39,6,443,47260,,
Mar 31, 2026 07:59:48.114053224 PKT,192.168.100.39,13.107.246.63,6,47260,443,,
Mar 31, 2026 07:59:48.151407440 PKT,,,,,,,
Mar 31, 2026 07:59:49.175010637 PKT,,,,,,,
Mar 31, 2026 07:59:49.491584301 PKT,172.64.148.235,192.168.100.39,6,443,57290,,
Mar 31, 2026 07:59:49.492106183 PKT,192.168.100.39,172.64.148.235,6,57290,443,,
Mar 31, 2026 07:59:49.513777734 PKT,172.64.148.235,192.168.100.39,6,443,57290,,
Mar 31, 2026 07:59:50.199960132 PKT,,,,,,,
Mar 31, 2026 07:59:51.020291380 PKT,157.240.227.60,192.168.100.39,6,5222,51884,,
Mar 31, 2026 07:59:51.020319866 PKT,192.168.100.39,157.240.227.60,6,51884,5222,,
Mar 31, 2026 07:59:51.021355021 PKT,192.168.100.39,157.240.227.60,6,51884,5222,,
Mar 31, 2026 07:59:51.059776490 PKT,157.240.227.60,192.168.100.39,6,5222,51884,,
Mar 31, 2026 07:59:51.335820372 PKT,192.168.100.39,142.250.202.238,6,52610,443,,
Mar 31, 2026 07:59:51.335849206 PKT,192.168.100.39,142.250.202.238,6,52610,443,,
Mar 31, 2026 07:59:51.335862514 PKT,192.168.100.39,142.250.202.238,6,52610,443,,
Mar 31, 2026 07:59:51.337616810 PKT,192.168.100.39,142.250.202.238,6,52610,443,,
Mar 31, 2026 07:59:51.383291943 PKT,142.250.202.238,192.168.100.39,6,443,52610,,
Mar 31, 2026 07:59:51.383921025 PKT,142.250.202.238,192.168.100.39,6,443,52610,,
Mar 31, 2026 07:59:51.385013483 PKT,142.250.202.238,192.168.100.39,6,443,52610,,
Mar 31, 2026 07:59:51.385013765 PKT,142.250.202.238,192.168.100.39,6,443,52610,,
Mar 31, 2026 07:59:51.385853334 PKT,142.250.202.238,192.168.100.39,6,443,52610,,
Mar 31, 2026 07:59:51.428008800 PKT,192.168.100.39,142.250.202.238,6,52610,443,,
Mar 31, 2026 07:59:51.528865524 PKT,142.250.202.238,192.168.100.39,6,443,52610,,
Mar 31, 2026 07:59:51.528995609 PKT,192.168.100.39,142.250.202.238,6,52610,443,,
Mar 31, 2026 07:59:51.555282654 PKT,142.250.202.238,192.168.100.39,6,443,52610,,
Mar 31, 2026 07:59:51.555283753 PKT,142.250.202.238,192.168.100.39,6,443,52610,,
Mar 31, 2026 07:59:51.555404854 PKT,192.168.100.39,142.250.202.238,6,52610,443,,
Mar 31, 2026 07:59:51.555463673 PKT,192.168.100.39,142.250.202.238,6,52610,443,,
Mar 31, 2026 07:59:51.558241517 PKT,192.168.100.39,142.250.202.238,6,52610,443,,
Mar 31, 2026 07:59:51.609579515 PKT,142.250.202.238,192.168.100.39,6,443,52610,,
Mar 31, 2026 07:59:51.963457334 PKT,192.168.100.39,142.250.202.238,6,52610,443,,
Mar 31, 2026 07:59:51.963517277 PKT,192.168.100.39,142.250.202.238,6,52610,443,,
Mar 31, 2026 07:59:51.963561093 PKT,192.168.100.39,142.250.202.238,6,52610,443,,
Mar 31, 2026 07:59:51.963578378 PKT,192.168.100.39,142.250.202.238,6,52610,443,,
Mar 31, 2026 07:59:51.972588321 PKT,192.168.100.39,142.250.202.238,6,52610,443,,
Mar 31, 2026 07:59:51.972689053 PKT,192.168.100.39,142.250.202.238,6,52610,443,,
Mar 31, 2026 07:59:51.973561618 PKT,192.168.100.39,142.250.202.238,6,52610,443,,
Mar 31, 2026 07:59:51.978156570 PKT,192.168.100.39,142.250.202.238,6,52610,443,,
Mar 31, 2026 07:59:51.999247629 PKT,192.168.100.39,192.168.100.1,17,,,60153,53
Mar 31, 2026 07:59:51.999992298 PKT,192.168.100.39,192.168.100.1,17,,,57816,53
Mar 31, 2026 07:59:52.008156428 PKT,192.168.100.1,192.168.100.39,17,,,53,60153
Mar 31, 2026 07:59:52.013062111 PKT,142.250.202.238,192.168.100.39,6,443,52610,,
Mar 31, 2026 07:59:52.013062458 PKT,142.250.202.238,192.168.100.39,6,443,52610,,
Mar 31, 2026 07:59:52.013062575 PKT,192.168.100.1,192.168.100.39,17,,,53,57816
Mar 31, 2026 07:59:52.013062679 PKT,142.250.202.238,192.168.100.39,6,443,52610,,
Mar 31, 2026 07:59:52.015552336 PKT,192.168.100.39,142.250.186.238,17,,,34914,443
Mar 31, 2026 07:59:52.015665326 PKT,192.168.100.39,142.250.186.238,17,,,34914,443
Mar 31, 2026 07:59:52.020228383 PKT,142.250.202.238,192.168.100.39,6,443,52610,,
Mar 31, 2026 07:59:52.020228729 PKT,142.250.202.238,192.168.100.39,6,443,52610,,
Mar 31, 2026 07:59:52.020229662 PKT,142.250.202.238,192.168.100.39,6,443,52610,,
Mar 31, 2026 07:59:52.021415831 PKT,192.168.100.39,142.250.186.238,17,,,34914,443
Mar 31, 2026 07:59:52.021771655 PKT,192.168.100.39,142.250.186.238,17,,,34914,443
Mar 31, 2026 07:59:52.022189173 PKT,192.168.100.39,142.250.186.238,17,,,34914,443
Mar 31, 2026 07:59:52.024650617 PKT,142.250.202.238,192.168.100.39,6,443,52610,,
Mar 31, 2026 07:59:52.059624976 PKT,142.250.186.238,192.168.100.39,17,,,443,34914
Mar 31, 2026 07:59:52.059625322 PKT,142.250.186.238,192.168.100.39,17,,,443,34914
Mar 31, 2026 07:59:52.093579957 PKT,192.168.100.39,192.168.100.1,17,,,39642,53
Mar 31, 2026 07:59:52.094008413 PKT,192.168.100.39,192.168.100.1,17,,,34870,53
Mar 31, 2026 07:59:52.103460783 PKT,192.168.100.1,192.168.100.39,17,,,53,39642
Mar 31, 2026 07:59:52.105110201 PKT,192.168.100.39,142.250.186.238,17,,,34914,443
Mar 31, 2026 07:59:52.108674813 PKT,192.168.100.1,192.168.100.39,17,,,53,34870
Mar 31, 2026 07:59:52.110908492 PKT,192.168.100.39,216.239.32.223,17,,,56434,443
Mar 31, 2026 07:59:52.111002928 PKT,192.168.100.39,216.239.32.223,17,,,56434,443
Mar 31, 2026 07:59:52.112871561 PKT,192.168.100.39,192.168.100.1,17,,,58819,53
Mar 31, 2026 07:59:52.113311812 PKT,192.168.100.39,192.168.100.1,17,,,51909,53
Mar 31, 2026 07:59:52.132750443 PKT,192.168.100.39,216.239.32.223,17,,,56434,443
Mar 31, 2026 07:59:52.136790309 PKT,192.168.100.1,192.168.100.39,17,,,53,58819
Mar 31, 2026 07:59:52.145747897 PKT,192.168.100.1,192.168.100.39,17,,,53,51909
Mar 31, 2026 07:59:52.146808332 PKT,142.250.186.238,192.168.100.39,17,,,443,34914
Mar 31, 2026 07:59:52.154018160 PKT,142.250.202.238,192.168.100.39,6,443,52610,,
Mar 31, 2026 07:59:52.156408220 PKT,142.250.202.238,192.168.100.39,6,443,52610,,
Mar 31, 2026 07:59:52.156408487 PKT,142.250.202.238,192.168.100.39,6,443,52610,,
Mar 31, 2026 07:59:52.156520170 PKT,192.168.100.39,142.250.202.238,6,52610,443,,
Mar 31, 2026 07:59:52.156640070 PKT,192.168.100.39,142.250.202.238,6,52610,443,,
Mar 31, 2026 07:59:52.157617772 PKT,192.168.100.39,142.251.156.119,6,41832,443,,
Mar 31, 2026 07:59:52.159879693 PKT,216.239.32.223,192.168.100.39,17,,,443,56434
Mar 31, 2026 07:59:52.165653028 PKT,216.239.32.223,192.168.100.39,17,,,443,56434
Mar 31, 2026 07:59:52.165653249 PKT,216.239.32.223,192.168.100.39,17,,,443,56434
Mar 31, 2026 07:59:52.165653361 PKT,142.250.202.238,192.168.100.39,6,443,52610,,
Mar 31, 2026 07:59:52.165653463 PKT,142.250.202.238,192.168.100.39,6,443,52610,,
Mar 31, 2026 07:59:52.166443173 PKT,192.168.100.39,142.250.202.238,6,52610,443,,
Mar 31, 2026 07:59:52.166469728 PKT,192.168.100.39,142.250.202.238,6,52610,443,,
Mar 31, 2026 07:59:52.166476419 PKT,192.168.100.39,142.250.202.238,6,52610,443,,
Mar 31, 2026 07:59:52.166481559 PKT,192.168.100.39,142.250.202.238,6,52610,443,,
Mar 31, 2026 07:59:52.168047347 PKT,192.168.100.39,216.239.32.223,17,,,56434,443
Mar 31, 2026 07:59:52.169014434 PKT,192.168.100.39,142.250.202.238,6,52610,443,,
Mar 31, 2026 07:59:52.169036352 PKT,192.168.100.39,142.250.202.238,6,52610,443,,
Mar 31, 2026 07:59:52.169044140 PKT,192.168.100.39,142.250.202.238,6,52610,443,,
Mar 31, 2026 07:59:52.181283516 PKT,142.250.186.238,192.168.100.39,17,,,443,34914
Mar 31, 2026 07:59:52.181283819 PKT,142.250.186.238,192.168.100.39,17,,,443,34914
Mar 31, 2026 07:59:52.181283928 PKT,142.250.186.238,192.168.100.39,17,,,443,34914
Mar 31, 2026 07:59:52.181284016 PKT,142.250.186.238,192.168.100.39,17,,,443,34914
Mar 31, 2026 07:59:52.182206091 PKT,192.168.100.39,142.250.186.238,17,,,34914,443
Mar 31, 2026 07:59:52.182343677 PKT,192.168.100.39,142.250.186.238,17,,,34914,443
Mar 31, 2026 07:59:52.182978269 PKT,142.250.186.238,192.168.100.39,17,,,443,34914
Mar 31, 2026 07:59:52.182978515 PKT,142.250.186.238,192.168.100.39,17,,,443,34914
Mar 31, 2026 07:59:52.182978604 PKT,142.250.186.238,192.168.100.39,17,,,443,34914
Mar 31, 2026 07:59:52.182978690 PKT,142.250.186.238,192.168.100.39,17,,,443,34914
Mar 31, 2026 07:59:52.183372147 PKT,192.168.100.39,142.250.186.238,17,,,34914,443
Mar 31, 2026 07:59:52.183450329 PKT,192.168.100.39,142.250.186.238,17,,,34914,443
Mar 31, 2026 07:59:52.183886855 PKT,142.250.186.238,192.168.100.39,17,,,443,34914
Mar 31, 2026 07:59:52.183887320 PKT,142.250.186.238,192.168.100.39,17,,,443,34914
Mar 31, 2026 07:59:52.183887447 PKT,142.250.186.238,192.168.100.39,17,,,443,34914
Mar 31, 2026 07:59:52.183887552 PKT,142.250.186.238,192.168.100.39,17,,,443,34914
Mar 31, 2026 07:59:52.183887653 PKT,142.250.186.238,192.168.100.39,17,,,443,34914
Mar 31, 2026 07:59:52.183887760 PKT,142.250.186.238,192.168.100.39,17,,,443,34914
